idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	1.469
11	1.426
10	1.384	1			9718	1.384	13449	3450
9	1.344	1			9718	1.344	13060	3061
8	1.305	1			9718	1.305	12681	2682
7	1.267	1			9718	1.267	12312	2313
6	1.23	1			9718	1.23	11953	1953
5	1.194	1			9718	1.194	11603	1603
4	1.159	1			9718	1.159	11263	1263
3	1.125	1			9718	1.125	10932	933
2	1.092	1			9718	1.092	10612	612
1	1.06	1			9718	1.06	10301	301
0	1.029	10	100000	97181	9718
-1	0.998	1	10000	10020	10020	1.029	10311	311
-2	0.968	1	10000	10331	10331	0.998	10310	310
-3	0.939	1	10000	10650	10650	0.968	10309	309
-4	0.911	1	10000	10977	10977	0.939	10307	307
-5	0.884	1	10000	11312	11312	0.911	10305	305
-6	0.857	1	10000	11669	11669	0.884	10315	315
-7	0.831	1	10000	12034	12034	0.857	10313	313
-8	0.806	1	10000	12407	12407	0.831	10310	310
-9	0.782	1	10000	12788	12788	0.806	10307	307
-10	0.759	1	10000	13175	13175	0.782	10303	303
-11	0.736	1	10000	13587	13587	0.759	10313	313
-12	0.714	1	10000	14006	14006	0.736	10308	308
