idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	1.148
11	1.115
10	1.083	1			12422	1.083	13453	3453
9	1.051	1			12422	1.051	13055	3056
8	1.02	1			12422	1.02	12670	2671
7	0.99	1			12422	0.99	12297	2298
6	0.961	1			12422	0.961	11937	1938
5	0.933	1			12422	0.933	11589	1590
4	0.906	1			12422	0.906	11254	1255
3	0.88	1			12422	0.88	10931	932
2	0.854	1			12422	0.854	10608	609
1	0.829	1			12422	0.829	10297	298
0	0.805	10	100000	124223	12422
-1	0.781	1	10000	12804	12804	0.805	10307	307
-2	0.758	1	10000	13193	13193	0.781	10304	303
-3	0.735	1	10000	13605	13605	0.758	10313	313
-4	0.713	1	10000	14025	14025	0.735	10308	309
-5	0.692	1	10000	14451	14451	0.713	10304	303
-6	0.671	1	10000	14903	14903	0.692	10313	313
-7	0.651	1	10000	15361	15361	0.671	10307	307
-8	0.631	1	10000	15848	15848	0.651	10317	317
-9	0.612	1	10000	16340	16340	0.631	10311	310
-10	0.594	1	10000	16835	16835	0.612	10303	303
-11	0.576	1	10000	17361	17361	0.594	10312	312
-12	0.559	1	10000	17889	17889	0.576	10304	304
