idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	3.55
11	3.447
10	3.347	1			4016	3.347	13441	3442
9	3.25	1			4016	3.25	13052	3052
8	3.155	1			4016	3.155	12670	2671
7	3.063	1			4016	3.063	12301	2301
6	2.974	1			4016	2.974	11943	1944
5	2.887	1			4016	2.887	11594	1594
4	2.803	1			4016	2.803	11256	1257
3	2.721	1			4016	2.721	10927	928
2	2.642	1			4016	2.642	10610	610
1	2.565	1			4016	2.565	10301	301
0	2.49	10	100000	40160	4016
-1	2.415	1	10000	4141	4141	2.49	10311	311
-2	2.343	1	10000	4268	4268	2.415	10307	307
-3	2.273	1	10000	4399	4399	2.343	10307	308
-4	2.205	1	10000	4535	4535	2.273	10308	308
-5	2.139	1	10000	4675	4675	2.205	10308	309
-6	2.075	1	10000	4819	4819	2.139	10308	308
-7	2.013	1	10000	4968	4968	2.075	10309	308
-8	1.953	1	10000	5120	5120	2.013	10307	307
-9	1.894	1	10000	5280	5280	1.953	10312	312
-10	1.837	1	10000	5444	5444	1.894	10311	310
-11	1.782	1	10000	5612	5612	1.837	10309	309
-12	1.729	1	10000	5784	5784	1.782	10307	307
