idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	1.368
11	1.328
10	1.289	1			10416	1.289	13426	3427
9	1.251	1			10416	1.251	13030	3031
8	1.215	1			10416	1.215	12655	2656
7	1.18	1			10416	1.18	12290	2292
6	1.146	1			10416	1.146	11936	1937
5	1.113	1			10416	1.113	11593	1594
4	1.081	1			10416	1.081	11259	1260
3	1.05	1			10416	1.05	10936	937
2	1.019	1			10416	1.019	10613	615
1	0.989	1			10416	0.989	10301	302
0	0.96	10	100000	104166	10416
-1	0.931	1	10000	10741	10741	0.96	10311	311
-2	0.903	1	10000	11074	11074	0.931	10310	310
-3	0.876	1	10000	11416	11416	0.903	10309	308
-4	0.85	1	10000	11765	11765	0.876	10306	306
-5	0.825	1	10000	12121	12121	0.85	10303	303
-6	0.8	1	10000	12500	12500	0.825	10313	312
-7	0.776	1	10000	12887	12887	0.8	10310	309
-8	0.753	1	10000	13280	13280	0.776	10305	305
-9	0.73	1	10000	13699	13699	0.753	10315	315
-10	0.708	1	10000	14124	14124	0.73	10311	311
-11	0.687	1	10000	14556	14556	0.708	10306	306
-12	0.666	1	10000	15015	15015	0.687	10315	315
