idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	0.873
11	0.848
10	0.823	1			16313	0.823	13425	3426
9	0.799	1			16313	0.799	13034	3034
8	0.776	1			16313	0.776	12658	2659
7	0.753	1			16313	0.753	12283	2284
6	0.731	1			16313	0.731	11924	1925
5	0.71	1			16313	0.71	11582	1582
4	0.689	1			16313	0.689	11239	1240
3	0.669	1			16313	0.669	10913	914
2	0.65	1			16313	0.65	10603	604
1	0.631	1			16313	0.631	10293	294
0	0.613	10	100000	163132	16313
-1	0.595	1	10000	16807	16807	0.613	10303	303
-2	0.577	1	10000	17331	17331	0.595	10312	312
-3	0.56	1	10000	17857	17857	0.577	10303	304
-4	0.543	1	10000	18416	18416	0.56	10313	313
-5	0.527	1	10000	18975	18975	0.543	10303	304
-6	0.511	1	10000	19569	19569	0.527	10313	313
-7	0.496	1	10000	20161	20161	0.511	10302	302
-8	0.481	1	10000	20790	20790	0.496	10312	312
-9	0.467	1	10000	21413	21413	0.481	10300	300
-10	0.453	1	10000	22075	22075	0.467	10309	309
-11	0.439	1	10000	22779	22779	0.453	10319	319
-12	0.426	1	10000	23474	23474	0.439	10305	305
