idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
10	1.976	1	10000	5061	5214	3442
9	1.918	1	10000	5214	5371	3047
8	1.862	1	10000	5371	5531	2666
7	1.808	1	10000	5531	5698	2299
6	1.755	1	10000	5698	5869	1939
5	1.704	1	10000	5869	6046	1592
4	1.654	1	10000	6046	6227	1252
3	1.606	1	10000	6227	6414	925
2	1.559	1	10000	6414	6605	605
1	1.514	1	10000	6605	6800	299
0	1.47	10	100000	68027	6800
-1	1.426	1	10000	7013	7013	1.47	10309	309
-2	1.383	1	10000	7231	7231	1.426	10311	311
-3	1.342	1	10000	7452	7452	1.383	10306	306
-4	1.302	1	10000	7680	7680	1.342	10307	307
-5	1.263	1	10000	7918	7918	1.302	10309	309
-6	1.225	1	10000	8163	8163	1.263	10310	310
-7	1.188	1	10000	8418	8418	1.225	10312	311
-8	1.152	1	10000	8681	8681	1.188	10313	313
-9	1.117	1	10000	8953	8953	1.152	10314	313
