idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	2.689
11	2.611
10	2.535	1			5309	2.535	13458	3459
9	2.461	1			5309	2.461	13065	3066
8	2.389	1			5309	2.389	12683	2684
7	2.319	1			5309	2.319	12311	2312
6	2.251	1			5309	2.251	11950	1951
5	2.185	1			5309	2.185	11600	1601
4	2.121	1			5309	2.121	11260	1261
3	2.059	1			5309	2.059	10931	932
2	1.999	1			5309	1.999	10612	613
1	1.941	1			5309	1.941	10304	305
0	1.884	10	100000	53092	5309
-1	1.827	1	10000	5473	5473	1.884	10308	309
-2	1.772	1	10000	5643	5643	1.827	10310	310
-3	1.719	1	10000	5817	5817	1.772	10308	308
-4	1.667	1	10000	5999	5999	1.719	10312	312
-5	1.617	1	10000	6184	6184	1.667	10309	309
-6	1.568	1	10000	6378	6378	1.617	10313	313
-7	1.521	1	10000	6575	6575	1.568	10310	309
-8	1.475	1	10000	6780	6780	1.521	10312	312
-9	1.431	1	10000	6988	6988	1.475	10307	307
-10	1.388	1	10000	7205	7205	1.431	10310	310
-11	1.346	1	10000	7429	7429	1.388	10311	312
-12	1.306	1	10000	7657	7657	1.346	10306	306
