idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	3.281
11	3.185
10	3.092	1			4344	3.092	13431	3433
9	3.002	1			4344	3.002	13040	3042
8	2.915	1			4344	2.915	12662	2664
7	2.83	1			4344	2.83	12293	2295
6	2.748	1			4344	2.748	11937	1938
5	2.668	1			4344	2.668	11589	1591
4	2.59	1			4344	2.59	11250	1252
3	2.515	1			4344	2.515	10925	926
2	2.442	1			4344	2.442	10608	609
1	2.371	1			4344	2.371	10299	301
0	2.302	10	100000	43444	4344
-1	2.233	1	10000	4478	4478	2.302	10307	308
-2	2.166	1	10000	4617	4617	2.233	10310	309
-3	2.101	1	10000	4760	4760	2.166	10310	309
-4	2.038	1	10000	4907	4907	2.101	10310	309
-5	1.977	1	10000	5058	5058	2.038	10308	309
-6	1.918	1	10000	5214	5214	1.977	10308	308
-7	1.86	1	10000	5376	5376	1.918	10311	312
-8	1.804	1	10000	5543	5543	1.86	10310	310
-9	1.75	1	10000	5714	5714	1.804	10308	309
-10	1.698	1	10000	5889	5889	1.75	10306	306
-11	1.647	1	10000	6072	6072	1.698	10310	310
-12	1.598	1	10000	6258	6258	1.647	10307	307
