idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
10	1.166	1	3000		3456	1.166	4029	1030
9	1.132	1	3000	2650	3456	1.132	3912	912
8	1.099	1	3000	2730	3456	1.099	3798	798
7	1.067	1	3000	2812	3456	1.067	3687	688
6	1.036	1	3000	2896	3456	1.036	3580	581
5	1.006	1	3000	2982	3456	1.006	3476	477
4	0.977	1	3000	3071	3456	0.977	3376	377
3	0.949	1	3000	3161	3456	0.949	3279	280
2	0.921	1	3000	3257	3456	0.921	3182	183
1	0.894	1	3000	3356	3456	0.894	3089	90
0	0.868	10	30000	34562	3456
-1	0.842	1	3000	3563	3563	0.868	3093	93
-2	0.817	1	3000	3672	3672	0.842	3092	92
-3	0.792	1	3000	3788	3788	0.817	3095	95
-4	0.768	1	3000	3906	3906	0.792	3094	94
-5	0.745	1	3000	4027	4027	0.768	3093	93
-6	0.723	1	3000	4149	4149	0.745	3091	91
-7	0.701	1	3000	4280	4280	0.723	3094	94
-8	0.68	1	3000	4412	4412	0.701	3093	93
-9	0.66	1	3000	4545	4545	0.68	3091	91
-10	0.64	1	3000	4688	4688	0.66	3094	94
-11	0.621	1	3000	4831	4831	0.64	3092	92
-12	0.602	1	3000	4983	4983	0.621	3094	95
