idx	price	hands	buyAmt	buyNum	sellNum	sellPrice	sellAmt	profit
12	1.115
11	1.083
10	1.051	1			12795	1.051	13447	3448
9	1.02	1			12795	1.02	13050	3052
8	0.99	1			12795	0.99	12667	2668
7	0.961	1			12795	0.961	12295	2297
6	0.933	1			12795	0.933	11937	1938
5	0.906	1			12795	0.906	11592	1593
4	0.88	1			12795	0.88	11259	1260
3	0.854	1			12795	0.854	10926	928
2	0.829	1			12795	0.829	10607	608
1	0.805	1			12795	0.805	10299	301
0	0.782	10	100000	127959	12795
-1	0.758	1	10000	13193	13193	0.782	10310	310
-2	0.735	1	10000	13605	13605	0.758	10313	313
-3	0.713	1	10000	14025	14025	0.735	10308	309
-4	0.692	1	10000	14451	14451	0.713	10304	303
-5	0.671	1	10000	14903	14903	0.692	10313	313
-6	0.651	1	10000	15361	15361	0.671	10307	307
-7	0.631	1	10000	15848	15848	0.651	10317	317
-8	0.612	1	10000	16340	16340	0.631	10311	310
-9	0.594	1	10000	16835	16835	0.612	10303	303
-10	0.576	1	10000	17361	17361	0.594	10312	312
-11	0.559	1	10000	17889	17889	0.576	10304	304
-12	0.542	1	10000	18450	18450	0.559	10314	314
